student_id,date_registered,f2p,total_minutes_watched,buckets
258844,2022-01-01,0,0,[0]
258968,2022-01-02,0,0,[0]
258985,2022-01-02,0,0,[0]
258986,2022-01-02,0,0,[0]
259053,2022-01-03,0,0,[0]
259277,2022-01-04,0,0,[0]
259295,2022-01-04,0,0,[0]
259353,2022-01-05,0,0,[0]
259357,2022-01-05,0,0,[0]
259416,2022-01-05,0,0,[0]
259439,2022-01-06,0,0,[0]
259448,2022-01-06,0,0,[0]
259540,2022-01-07,0,0,[0]
259626,2022-01-07,0,0,[0]
259677,2022-01-08,0,0,[0]
259693,2022-01-08,0,0,[0]
259713,2022-01-08,0,0,[0]
259746,2022-01-08,0,0,[0]
259807,2022-01-09,0,0,[0]
259835,2022-01-09,0,0,[0]
259962,2022-01-10,0,0,[0]
260007,2022-01-11,0,0,[0]
260104,2022-01-12,0,0,[0]
260105,2022-01-12,0,0,[0]
260114,2022-01-12,0,0,[0]
260188,2022-01-12,0,0,[0]
260213,2022-01-13,0,0,[0]
260462,2022-01-14,0,0,[0]
260559,2022-01-15,0,0,[0]
260656,2022-01-16,0,0,[0]
260860,2022-01-18,0,0,[0]
260872,2022-01-18,0,0,[0]
260908,2022-01-18,0,0,[0]
260927,2022-01-19,0,0,[0]
260965,2022-01-19,0,0,[0]
261010,2022-01-20,0,0,[0]
261014,2022-01-20,0,0,[0]
261116,2022-01-21,0,0,[0]
261368,2022-01-23,0,0,[0]
261441,2022-01-24,0,0,[0]
261464,2022-01-24,0,0,[0]
261537,2022-01-25,0,0,[0]
261701,2022-01-27,0,0,[0]
261871,2022-01-28,0,0,[0]
261887,2022-01-28,0,0,[0]
261908,2022-01-29,0,0,[0]
261922,2022-01-29,0,0,[0]
261963,2022-01-29,0,0,[0]
261999,2022-01-30,0,0,[0]
262020,2022-01-30,0,0,[0]
262207,2022-02-01,0,0,[0]
262209,2022-02-01,0,0,[0]
262261,2022-02-01,0,0,[0]
262279,2022-02-01,0,0,[0]
262305,2022-02-02,0,0,[0]
262312,2022-02-02,0,0,[0]
262446,2022-02-03,0,0,[0]
262452,2022-02-03,0,0,[0]
262523,2022-02-03,0,0,[0]
262590,2022-02-04,0,0,[0]
262605,2022-02-04,0,0,[0]
262748,2022-02-05,0,0,[0]
262837,2022-02-06,0,0,[0]
262974,2022-02-07,0,0,[0]
263075,2022-02-08,0,0,[0]
263095,2022-02-08,0,0,[0]
263203,2022-02-09,0,0,[0]
263248,2022-02-10,0,0,[0]
263338,2022-02-11,0,0,[0]
263749,2022-02-15,0,0,[0]
263775,2022-02-15,0,0,[0]
263813,2022-02-16,0,0,[0]
263999,2022-02-17,0,0,[0]
264004,2022-02-17,0,0,[0]
264042,2022-02-17,0,0,[0]
264093,2022-02-18,0,0,[0]
264183,2022-02-19,0,0,[0]
264372,2022-02-20,0,0,[0]
264384,2022-02-21,0,0,[0]
264424,2022-02-21,0,0,[0]
264458,2022-02-21,0,0,[0]
264482,2022-02-21,0,0,[0]
264535,2022-02-22,0,0,[0]
264553,2022-02-22,0,0,[0]
264647,2022-02-22,0,0,[0]
264715,2022-02-23,0,0,[0]
264737,2022-02-23,0,0,[0]
264768,2022-02-23,0,0,[0]
265108,2022-02-26,0,0,[0]
265392,2022-02-28,0,0,[0]
265408,2022-02-28,0,0,[0]
265430,2022-02-28,0,0,[0]
265498,2022-03-01,0,0,[0]
265507,2022-03-01,0,0,[0]
265551,2022-03-01,0,0,[0]
265570,2022-03-01,0,0,[0]
265580,2022-03-02,0,0,[0]
265605,2022-03-02,0,0,[0]
265650,2022-03-02,0,0,[0]
265651,2022-03-02,0,0,[0]
265750,2022-03-03,0,0,[0]
265858,2022-03-04,0,0,[0]
265935,2022-03-05,0,0,[0]
266020,2022-03-06,0,0,[0]
266105,2022-03-06,0,0,[0]
266172,2022-03-07,0,0,[0]
266198,2022-03-07,0,0,[0]
266206,2022-03-07,0,0,[0]
266238,2022-03-07,0,0,[0]
266253,2022-03-07,0,0,[0]
266305,2022-03-07,0,0,[0]
266440,2022-03-08,0,0,[0]
266441,2022-03-08,0,0,[0]
266555,2022-03-09,0,0,[0]
266659,2022-03-10,0,0,[0]
266798,2022-03-11,0,0,[0]
266993,2022-03-12,0,0,[0]
