student_id,date_registered,total_minutes_watched,num_paid_days,buckets
260111,2022-01-12,1556.91,292,"(1000, 2000]"
260715,2022-01-17,491.61,21,"(480, 1000]"
261510,2022-01-25,467.55,278,"(240, 480]"
260126,2022-01-12,1714.79,292,"(1000, 2000]"
261059,2022-01-20,942.46,281,"(480, 1000]"
260998,2022-01-19,4406.57,284,"(4000, 6000]"
262190,2022-01-31,82.77,89,"(60, 120]"
261995,2022-01-30,1530.34,57,"(1000, 2000]"
261782,2022-01-27,213.45,277,"(120, 240]"
260702,2022-01-17,42.5,279,"(30, 60]"
263120,2022-02-08,1761.04,265,"(1000, 2000]"
262392,2022-02-02,795.5,271,"(480, 1000]"
258818,2022-01-01,1392.1,301,"(1000, 2000]"
261239,2022-01-22,2055.22,278,"(2000, 3000]"
262908,2022-02-07,299.02,63,"(240, 480]"
263786,2022-02-15,3422.96,28,"(3000, 4000]"
262414,2022-02-03,2710.13,270,"(2000, 3000]"
261263,2022-01-22,2415.69,282,"(2000, 3000]"
260608,2022-01-16,3036.52,284,"(3000, 4000]"
265462,2022-03-01,232.96,244,"(120, 240]"
264694,2022-02-23,3567.61,28,"(3000, 4000]"
261022,2022-01-20,370.24,284,"(240, 480]"
263480,2022-02-13,2550.43,59,"(2000, 3000]"
264361,2022-02-20,2572.65,28,"(2000, 3000]"
261756,2022-01-27,4716.61,277,"(4000, 6000]"
265628,2022-03-02,1459.82,237,"(1000, 2000]"
262585,2022-02-03,2475.35,270,"(2000, 3000]"
261227,2022-01-22,169,282,"(120, 240]"
261778,2022-01-27,3607.03,277,"(3000, 4000]"
263648,2022-02-14,238.4,256,"(120, 240]"
263639,2022-02-14,3265.79,259,"(3000, 4000]"
261785,2022-01-27,5365.11,277,"(4000, 6000]"
259524,2022-01-06,2827.11,278,"(2000, 3000]"
263672,2022-02-14,230.46,259,"(120, 240]"
267496,2022-03-16,738.84,229,"(480, 1000]"
267812,2022-03-18,2702.43,226,"(2000, 3000]"
263479,2022-02-13,1419.14,59,"(1000, 2000]"
263231,2022-02-09,669.45,261,"(480, 1000]"
261766,2022-01-27,761.06,277,"(480, 1000]"
268257,2022-03-22,348.37,223,"(240, 480]"
260033,2022-01-11,136.38,286,"(120, 240]"
263693,2022-02-15,1143.1,122,"(1000, 2000]"
264404,2022-02-21,1375.37,250,"(1000, 2000]"
266529,2022-03-09,2862.73,236,"(2000, 3000]"
268516,2022-03-24,1499.54,215,"(1000, 2000]"
267487,2022-03-16,603.04,31,"(480, 1000]"
