certificate_id,student_id,certificate_type,date_issued,paid
68911,259209,1,2022-01-04,1
68946,259258,1,2022-01-05,1
68969,258955,1,2022-01-06,1
68976,259268,1,2022-01-06,1
68990,259447,1,2022-01-07,1
68994,258800,1,2022-01-07,1
69022,259174,1,2022-01-07,1
69038,259702,1,2022-01-08,1
69039,259482,1,2022-01-08,1
69099,259664,1,2022-01-11,1
69109,259860,1,2022-01-11,1
69129,260029,1,2022-01-12,1
69135,258822,1,2022-01-12,1
69169,259504,1,2022-01-13,1
69170,260192,1,2022-01-13,1
69175,259258,1,2022-01-14,1
69176,260324,1,2022-01-14,1
69195,259959,1,2022-01-14,1
69198,259860,1,2022-01-14,1
69201,259258,1,2022-01-14,1
69206,259283,1,2022-01-15,1
69222,260173,1,2022-01-15,1
69231,260486,1,2022-01-16,1
69234,259767,1,2022-01-16,1
69240,259504,1,2022-01-16,1
69246,259106,1,2022-01-16,1
69251,260649,1,2022-01-16,1
69283,259996,1,2022-01-17,1
69287,260324,1,2022-01-17,1
69289,260029,1,2022-01-17,1
69294,259938,1,2022-01-18,1
69314,259777,1,2022-01-18,1
69321,259174,1,2022-01-18,1
69331,259938,1,2022-01-19,1
69380,260649,1,2022-01-20,1
69390,260465,1,2022-01-21,1
69393,260754,1,2022-01-21,1
69397,260132,1,2022-01-21,1
69407,259938,1,2022-01-21,1
69412,260486,1,2022-01-22,1
69413,260494,1,2022-01-22,1
69415,260593,1,2022-01-22,1
69441,260477,1,2022-01-23,1
69447,261183,1,2022-01-23,1
69450,261022,1,2022-01-23,1
69457,261212,1,2022-01-23,1
69458,260211,1,2022-01-23,1
69460,260998,1,2022-01-24,1
69462,260829,1,2022-01-24,1
69466,260062,1,2022-01-24,1
69474,259756,1,2022-01-24,1
69476,260173,1,2022-01-24,1
69481,260998,1,2022-01-24,1
69489,260829,1,2022-01-25,1
69494,260062,1,2022-01-25,1
69496,259174,1,2022-01-25,1
69498,259283,1,2022-01-25,1
69501,259504,1,2022-01-26,1
69507,261212,1,2022-01-26,1
69510,260593,1,2022-01-26,1
69511,261019,1,2022-01-26,1
69513,261374,1,2022-01-26,1
69514,260649,1,2022-01-26,1
69519,261268,1,2022-01-26,1
69540,261491,1,2022-01-26,1
69542,259171,1,2022-01-26,1
69546,260486,1,2022-01-26,1
69553,261567,1,2022-01-27,1
69555,261685,1,2022-01-27,1
69561,259504,1,2022-01-27,1
69574,259106,1,2022-01-28,1
69585,260831,1,2022-01-28,1
69594,260998,1,2022-01-28,1
69595,259524,1,2022-01-28,1
69597,261777,1,2022-01-29,1
69602,260754,1,2022-01-29,1
69604,260754,1,2022-01-29,1
69608,261455,1,2022-01-29,1
69609,261268,1,2022-01-29,1
69610,261721,1,2022-01-29,1
69611,261466,1,2022-01-29,1
69619,261777,1,2022-01-30,1
69625,261263,1,2022-01-30,1
69627,261184,1,2022-01-30,1
69629,261550,1,2022-01-30,1
69633,261773,1,2022-01-30,1
69638,260486,1,2022-01-31,1
69639,260850,1,2022-01-31,1
69649,261567,1,2022-01-31,1
69650,261979,1,2022-01-31,1
69655,260968,1,2022-01-31,1
69656,261212,1,2022-02-01,1
69658,260486,1,2022-02-01,1
69661,260850,1,2022-02-01,1
69667,261391,1,2022-02-01,1
69670,260345,1,2022-02-01,1
69673,261359,1,2022-02-01,1
69677,260971,1,2022-02-01,1
69679,260971,1,2022-02-01,1
69680,261491,1,2022-02-01,1
69683,259283,1,2022-02-02,1
69693,261359,1,2022-02-02,1
69705,261905,1,2022-02-02,1
69708,261263,1,2022-02-03,1
69718,261785,1,2022-02-03,1
69726,260998,1,2022-02-03,1
69732,259767,1,2022-02-04,1
69735,261819,1,2022-02-04,1
69742,261777,1,2022-02-04,1
69745,261979,1,2022-02-04,1
69746,260173,1,2022-02-04,1
69756,260998,1,2022-02-05,1
69760,260998,1,2022-02-05,1
69763,262459,1,2022-02-05,1
69767,260980,1,2022-02-05,1
69771,261682,1,2022-02-05,1
69778,261905,1,2022-02-06,1
69783,259549,1,2022-02-06,1
69788,262826,1,2022-02-06,1
69789,261550,1,2022-02-06,1
69791,258971,1,2022-02-06,1
69793,261737,1,2022-02-06,1
69799,262675,1,2022-02-07,1
69809,262643,1,2022-02-07,1
69810,261567,1,2022-02-07,1
69811,261567,1,2022-02-07,1
69813,262596,1,2022-02-07,1
69814,261785,1,2022-02-07,1
69818,260477,1,2022-02-08,1
69821,261263,1,2022-02-08,1
69822,260754,1,2022-02-08,1
69825,261593,1,2022-02-08,1
69828,259938,1,2022-02-08,1
69831,259174,1,2022-02-09,1
69833,261263,1,2022-02-09,1
69853,259494,1,2022-02-09,1
69859,261782,1,2022-02-09,1
69861,261491,1,2022-02-09,1
69862,262641,1,2022-02-09,1
69867,262596,1,2022-02-10,1
69869,261121,1,2022-02-10,1
69872,260649,1,2022-02-10,1
69873,263120,1,2022-02-10,1
69883,261802,1,2022-02-10,1
69888,261802,1,2022-02-10,1
69894,262224,1,2022-02-10,1
69895,261802,1,2022-02-10,1
69900,262817,1,2022-02-10,1
69901,260345,1,2022-02-10,1
69902,260345,1,2022-02-10,1
69903,262675,1,2022-02-10,1
69904,263216,1,2022-02-10,1
69909,261263,1,2022-02-11,1
69910,260593,1,2022-02-11,1
69911,261773,1,2022-02-11,1
69912,262817,1,2022-02-11,1
69915,262643,1,2022-02-11,1
69924,261828,1,2022-02-11,1
69925,260980,1,2022-02-11,1
