exam_attempt_id,student_id,exam_id,exam_category,exam_passed,date_exam_completed
173311,258803,475,1,1,2022-01-01
173332,258815,380,1,0,2022-01-01
173333,258815,380,1,1,2022-01-01
173335,258815,380,1,1,2022-01-01
173336,258815,380,1,0,2022-01-01
173353,258822,415,1,0,2022-01-01
173416,258862,368,1,0,2022-01-01
173417,258862,368,1,0,2022-01-01
173418,258862,368,1,0,2022-01-01
173419,258862,368,1,1,2022-01-01
173505,258803,478,1,1,2022-01-02
173508,258863,380,1,0,2022-01-02
173515,258863,380,1,1,2022-01-02
173580,258878,368,1,1,2022-01-02
173592,258862,369,1,1,2022-01-02
173598,258862,370,1,1,2022-01-02
173601,258878,369,1,1,2022-01-02
173605,258878,371,2,0,2022-01-02
173622,258971,368,1,0,2022-01-02
173628,258971,368,1,1,2022-01-02
173680,259039,420,1,1,2022-01-03
173682,259043,368,1,1,2022-01-03
173683,258913,368,1,1,2022-01-03
173684,258913,368,1,1,2022-01-03
173686,259043,368,1,1,2022-01-03
173687,259039,421,1,0,2022-01-03
173688,259039,421,1,1,2022-01-03
173718,259067,368,1,1,2022-01-03
173743,258913,369,1,0,2022-01-03
173745,258913,369,1,1,2022-01-03
173751,258913,370,1,1,2022-01-03
173752,258913,370,1,1,2022-01-03
173770,258984,368,1,0,2022-01-03
173773,258984,368,1,1,2022-01-03
173774,258984,368,1,1,2022-01-03
173802,258872,368,1,0,2022-01-03
173803,258872,368,1,0,2022-01-03
173804,258872,368,1,0,2022-01-03
173805,258872,368,1,0,2022-01-03
173810,258863,381,1,1,2022-01-03
173816,258955,368,1,0,2022-01-03
173819,258955,368,1,1,2022-01-03
173820,258863,372,1,0,2022-01-03
173829,258863,372,1,0,2022-01-03
173842,258908,385,1,0,2022-01-03
173853,259026,368,1,1,2022-01-03
173859,259106,368,1,0,2022-01-03
173861,259106,368,1,1,2022-01-03
173863,259106,368,1,1,2022-01-03
173908,258872,368,1,1,2022-01-03
173909,258872,368,1,1,2022-01-03
173910,258872,368,1,1,2022-01-03
173913,259155,97,1,0,2022-01-03
173936,259012,380,1,0,2022-01-03
173937,259012,380,1,0,2022-01-03
173939,259012,380,1,1,2022-01-03
173940,258913,380,1,1,2022-01-04
173941,259012,380,1,1,2022-01-04
173942,258913,380,1,1,2022-01-04
173958,258922,368,1,0,2022-01-04
173960,258922,368,1,1,2022-01-04
173994,259171,368,1,1,2022-01-04
173995,259171,368,1,1,2022-01-04
174004,258913,381,1,1,2022-01-04
174039,259214,368,1,0,2022-01-04
174056,258818,380,1,0,2022-01-04
174058,259118,368,1,1,2022-01-04
174060,258818,380,1,0,2022-01-04
174061,259118,368,1,1,2022-01-04
174063,259118,368,1,1,2022-01-04
174064,259118,368,1,1,2022-01-04
174065,259118,368,1,1,2022-01-04
174066,259118,368,1,1,2022-01-04
174089,258885,368,1,0,2022-01-04
174091,258885,368,1,1,2022-01-04
174095,258863,239,1,0,2022-01-04
174097,258955,369,1,1,2022-01-04
174098,258818,380,1,1,2022-01-04
174099,258955,369,1,1,2022-01-04
174113,259209,368,1,1,2022-01-04
174115,259233,368,1,0,2022-01-04
174117,259233,368,1,1,2022-01-04
174118,259209,369,1,1,2022-01-04
174122,259209,371,2,1,2022-01-04
174164,259257,408,1,0,2022-01-04
174165,259257,408,1,1,2022-01-04
174166,259257,416,1,0,2022-01-04
174168,259257,416,1,1,2022-01-04
174172,259257,415,1,0,2022-01-04
174174,259257,415,1,1,2022-01-04
174191,259266,380,1,1,2022-01-04
174193,259266,380,1,1,2022-01-04
174195,259266,381,1,1,2022-01-04
174197,259266,381,1,1,2022-01-04
174201,259233,372,1,1,2022-01-04
174209,259011,368,1,0,2022-01-04
174211,259011,368,1,1,2022-01-04
174213,259276,380,1,0,2022-01-04
174218,259276,380,1,1,2022-01-04
174221,259276,381,1,0,2022-01-04
174225,259276,381,1,1,2022-01-04
174261,258913,382,1,0,2022-01-05
174262,258913,382,1,1,2022-01-05
174277,259297,368,1,1,2022-01-05
174282,259297,368,1,1,2022-01-05
174287,258865,368,1,1,2022-01-05
174295,259305,478,1,1,2022-01-05
174305,259305,478,1,1,2022-01-05
174306,259305,478,1,1,2022-01-05
174307,259239,368,1,0,2022-01-05
174335,259268,368,1,0,2022-01-05
174336,259268,368,1,1,2022-01-05
174346,259209,380,1,1,2022-01-05
174361,259328,368,1,0,2022-01-05
174363,259328,368,1,0,2022-01-05
174395,259318,375,1,1,2022-01-05
174399,259268,369,1,0,2022-01-05
174400,259268,369,1,1,2022-01-05
174403,259268,370,1,0,2022-01-05
174404,259268,370,1,1,2022-01-05
174410,258955,370,1,1,2022-01-05
174413,258955,370,1,1,2022-01-05
174415,259258,369,1,1,2022-01-05
174420,259258,370,1,1,2022-01-05
174424,259258,368,1,1,2022-01-05
174425,259258,371,2,1,2022-01-05
174439,258883,368,1,0,2022-01-05
174454,258922,369,1,0,2022-01-05
174455,258922,369,1,1,2022-01-05
174457,258922,369,1,1,2022-01-05
174458,258922,370,1,1,2022-01-05
174462,258922,370,1,1,2022-01-05
174470,259284,380,1,1,2022-01-05
174473,259284,380,1,1,2022-01-05
174501,259106,369,1,1,2022-01-05
174503,259106,369,1,1,2022-01-05
174507,258800,368,1,1,2022-01-05
174517,259011,380,1,1,2022-01-05
174527,259401,368,1,1,2022-01-06
174565,259088,380,1,0,2022-01-06
174584,259447,368,1,1,2022-01-06
174587,259447,368,1,1,2022-01-06
174588,259305,479,1,1,2022-01-06
174599,259088,380,1,0,2022-01-06
174600,259088,380,1,1,2022-01-06
174601,259088,380,1,1,2022-01-06
174602,259088,380,1,1,2022-01-06
174603,259328,368,1,1,2022-01-06
174604,259088,380,1,1,2022-01-06
174605,259088,380,1,1,2022-01-06
174606,259088,380,1,1,2022-01-06
174612,259268,439,1,0,2022-01-06
174614,259088,381,1,0,2022-01-06
174615,259268,439,1,1,2022-01-06
174616,259088,381,1,1,2022-01-06
174617,259088,381,1,1,2022-01-06
174618,259264,368,1,0,2022-01-06
174620,259264,368,1,1,2022-01-06
174632,259462,368,1,0,2022-01-06
174633,259462,368,1,1,2022-01-06
174634,259366,375,1,0,2022-01-06
174639,258955,371,2,1,2022-01-06
174640,258984,369,1,1,2022-01-06
174642,258984,369,1,1,2022-01-06
174644,259408,380,1,1,2022-01-06
174645,259447,369,1,1,2022-01-06
174647,259447,369,1,1,2022-01-06
174648,259268,440,1,0,2022-01-06
174649,259447,370,1,1,2022-01-06
174650,259268,440,1,1,2022-01-06
174651,259447,370,1,1,2022-01-06
174678,259268,441,1,1,2022-01-06
174680,259445,380,1,0,2022-01-06
174684,259445,380,1,1,2022-01-06
174714,259268,443,2,1,2022-01-06
174717,259408,239,1,1,2022-01-06
174720,259408,239,1,1,2022-01-06
174722,259408,239,1,1,2022-01-06
174723,259247,380,1,1,2022-01-06
174724,259247,380,1,1,2022-01-06
174726,259026,369,1,1,2022-01-06
174735,259284,368,1,1,2022-01-06
174736,259284,368,1,1,2022-01-06
174757,259284,439,1,0,2022-01-06
174764,259284,439,1,1,2022-01-06
174777,259258,375,1,1,2022-01-06
174784,258800,369,1,0,2022-01-06
174786,259174,368,1,1,2022-01-06
174787,258800,369,1,1,2022-01-06
174794,259258,376,1,1,2022-01-06
174795,258800,370,1,0,2022-01-06
174805,259305,479,1,1,2022-01-07
174853,259447,420,1,1,2022-01-07
174855,259447,420,1,1,2022-01-07
174862,259268,420,1,0,2022-01-07
174863,259268,420,1,1,2022-01-07
174866,258984,370,1,1,2022-01-07
174867,259447,371,2,1,2022-01-07
174868,258984,370,1,1,2022-01-07
174872,259297,439,1,0,2022-01-07
174873,259297,439,1,1,2022-01-07
174874,259297,439,1,1,2022-01-07
174875,259297,439,1,1,2022-01-07
174877,259268,421,1,1,2022-01-07
174880,259268,421,1,1,2022-01-07
174881,259268,421,1,1,2022-01-07
174888,259297,440,1,0,2022-01-07
174889,259297,440,1,1,2022-01-07
174891,259297,380,1,1,2022-01-07
174892,258955,380,1,1,2022-01-07
174896,259297,381,1,1,2022-01-07
174898,259573,372,1,0,2022-01-07
174899,259297,381,1,1,2022-01-07
174900,259297,372,1,1,2022-01-07
174902,259573,372,1,0,2022-01-07
174904,259297,239,1,0,2022-01-07
174907,259297,239,1,1,2022-01-07
174910,258984,380,1,0,2022-01-07
174911,258984,380,1,1,2022-01-07
174930,259209,381,1,1,2022-01-07
174932,259447,421,1,1,2022-01-07
174934,259447,421,1,1,2022-01-07
174941,258800,370,1,1,2022-01-07
174944,258800,371,2,1,2022-01-07
174962,259110,380,1,1,2022-01-07
174964,259110,380,1,1,2022-01-07
174966,259603,380,1,1,2022-01-07
174970,259603,381,1,1,2022-01-07
174977,259510,368,1,1,2022-01-07
174979,259510,368,1,1,2022-01-07
175002,259174,369,1,1,2022-01-07
175004,259268,422,1,0,2022-01-07
175005,259268,422,1,1,2022-01-07
175007,259268,422,1,1,2022-01-07
175048,259174,370,1,0,2022-01-07
175065,259174,371,2,1,2022-01-07
175068,259510,369,1,1,2022-01-07
175069,259510,369,1,1,2022-01-07
175074,259510,370,1,1,2022-01-07
175077,259510,370,1,1,2022-01-07
175114,259283,375,1,1,2022-01-08
175115,259549,368,1,1,2022-01-08
175117,259549,368,1,1,2022-01-08
175118,259283,375,1,1,2022-01-08
175119,259549,368,1,1,2022-01-08
175120,259283,375,1,1,2022-01-08
175142,259622,368,1,1,2022-01-08
175144,259622,368,1,1,2022-01-08
175178,259268,380,1,1,2022-01-08
175180,259519,380,1,0,2022-01-08
175181,259519,380,1,1,2022-01-08
175186,259702,368,1,1,2022-01-08
175188,259702,368,1,1,2022-01-08
175189,259121,368,1,0,2022-01-08
175190,259121,368,1,1,2022-01-08
175191,258845,368,1,0,2022-01-08
175192,259080,239,1,0,2022-01-08
175196,259482,368,1,0,2022-01-08
175197,259482,368,1,0,2022-01-08
175198,259482,368,1,1,2022-01-08
175199,259482,368,1,1,2022-01-08
175200,259482,368,1,1,2022-01-08
175205,259590,368,1,1,2022-01-08
175209,259590,368,1,1,2022-01-08
175211,259093,380,1,1,2022-01-08
175212,259590,368,1,1,2022-01-08
175213,259702,369,1,1,2022-01-08
175215,259702,369,1,1,2022-01-08
175219,259702,370,1,1,2022-01-08
175220,259702,370,1,1,2022-01-08
175224,259702,371,2,1,2022-01-08
175225,259482,369,1,0,2022-01-08
175227,259482,369,1,1,2022-01-08
175232,259482,370,1,0,2022-01-08
175234,259482,370,1,1,2022-01-08
175235,259482,371,2,1,2022-01-08
175239,259398,432,1,1,2022-01-08
175246,259657,368,1,1,2022-01-08
175253,259482,375,1,0,2022-01-08
175254,259482,375,1,1,2022-01-08
175259,259739,368,1,0,2022-01-08
175261,259739,368,1,0,2022-01-08
175262,259739,368,1,0,2022-01-08
175264,259739,368,1,1,2022-01-08
175265,259482,376,1,0,2022-01-08
175266,259482,376,1,1,2022-01-08
175271,259093,381,1,1,2022-01-08
175283,259283,384,1,1,2022-01-08
175285,259283,384,1,1,2022-01-08
175288,259174,380,1,1,2022-01-09
175323,259297,375,1,1,2022-01-09
175324,259297,375,1,1,2022-01-09
175365,259247,381,1,1,2022-01-09
175366,259247,381,1,1,2022-01-09
175367,258845,368,1,1,2022-01-09
175369,258822,368,1,0,2022-01-09
175371,258822,368,1,1,2022-01-09
175373,259777,368,1,0,2022-01-09
175374,259777,368,1,1,2022-01-09
175377,259702,375,1,1,2022-01-09
175382,259702,375,1,1,2022-01-09
175391,259590,372,1,0,2022-01-09
175393,259268,381,1,1,2022-01-09
175400,259504,478,1,1,2022-01-09
175401,259777,369,1,1,2022-01-09
175402,259504,478,1,1,2022-01-09
175403,259504,478,1,1,2022-01-09
175405,259777,370,1,1,2022-01-09
175408,259106,420,1,0,2022-01-09
175409,259106,420,1,1,2022-01-09
175418,259106,421,1,0,2022-01-09
175419,259106,421,1,1,2022-01-09
175420,259106,421,1,1,2022-01-09
175428,258980,368,1,1,2022-01-09
175472,259118,380,1,0,2022-01-10
175473,258803,475,1,1,2022-01-10
175474,258803,475,1,1,2022-01-10
175475,259118,380,1,1,2022-01-10
175476,258803,475,1,1,2022-01-10
175477,258803,475,1,1,2022-01-10
175488,259283,376,1,1,2022-01-10
175523,259305,480,1,1,2022-01-10
175550,259860,368,1,0,2022-01-10
175560,258822,369,1,0,2022-01-10
175562,258822,369,1,1,2022-01-10
175565,258822,371,2,0,2022-01-10
175566,258822,370,1,1,2022-01-10
175576,258980,369,1,0,2022-01-10
175577,258980,370,1,1,2022-01-10
175581,259860,368,1,1,2022-01-10
