student_id,date_watched,minutes_watched,paid
258940,2022-01-02,2.12,0
258893,2022-01-02,0.65,0
258904,2022-01-02,13.08,0
259041,2022-01-02,0.18,0
258904,2022-01-03,36.33,0
258863,2022-01-05,43.72,0
259143,2022-01-06,0.05,0
259841,2022-01-09,0.08,0
259923,2022-01-11,0.57,0
260045,2022-01-11,0.43,0
260165,2022-01-12,17.2,0
260176,2022-01-12,32.95,0
260209,2022-01-12,0.52,0
260241,2022-01-13,0.07,0
260165,2022-01-13,18.68,0
260111,2022-01-16,24.8,1
260907,2022-01-18,2.6,0
260939,2022-01-19,0.25,0
260715,2022-01-20,0.07,1
261218,2022-01-22,0.15,0
261392,2022-01-24,0.05,0
261218,2022-01-24,0.07,0
261510,2022-01-25,43.72,0
261534,2022-01-25,6.32,0
261165,2022-01-26,57.37,0
261510,2022-01-27,12.27,1
260126,2022-01-27,73.08,1
261687,2022-01-27,0.95,0
261530,2022-01-27,0.58,0
261059,2022-01-27,100.83,1
261510,2022-01-28,10.05,1
261059,2022-01-28,27.5,1
261510,2022-01-30,14.35,1
262092,2022-01-31,41.08,0
262316,2022-02-02,0.98,0
261510,2022-02-02,13.57,1
260998,2022-02-03,118.6,1
262536,2022-02-03,26.48,0
262190,2022-02-03,3.12,1
262603,2022-02-04,6.98,0
262536,2022-02-04,13.25,0
262702,2022-02-04,0.93,0
261995,2022-02-05,11.55,1
262190,2022-02-05,51.87,1
262763,2022-02-05,1.43,0
261510,2022-02-06,54.98,1
262190,2022-02-06,24.65,1
260126,2022-02-07,0.05,1
261681,2022-02-07,0.17,0
262983,2022-02-07,1.35,0
261782,2022-02-07,0.3,1
262962,2022-02-08,14.5,0
262983,2022-02-08,28.53,0
263143,2022-02-09,1.28,0
263171,2022-02-09,0.92,0
263180,2022-02-09,0.5,0
262983,2022-02-09,0.33,0
260702,2022-02-09,0.07,1
263120,2022-02-09,82.28,1
261782,2022-02-09,30.25,1
263230,2022-02-09,1.67,0
263120,2022-02-10,23.42,1
261631,2022-02-10,6.87,0
261510,2022-02-10,12.47,1
263358,2022-02-11,3.33,0
261510,2022-02-12,36.92,1
263458,2022-02-12,0.55,0
262392,2022-02-13,66.72,1
